path,categories,uz,total_hits,ext,trace
Прочее\%D0%A0386.%20%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%20%D0%B2%20%D0%BC%D0%B8%D1%80%D0%B5%20%D0%98%D0%98.pdf,"{'обычные': 13, 'специальные': 1}",УЗ-1,14,.pdf,
Прочее\%D0%A0502%20%D0%A4%D1%80%D0%BE%D0%BD%D1%82%D0%B8%D1%80%D1%8B%20%D0%BA%D0%B0%D1%80%D1%8C%D0%B5%D1%80%D1%8B.pdf,"{'обычные': 26, 'специальные': 2}",УЗ-1,28,.pdf,
Прочее\%D0%A0545_0.pdf,{'обычные': 2},УЗ-4,2,.pdf,
Прочее\%D0%A0613%20%D0%BF%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%D0%B0%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D1%82%D0%B5%D0%BD%D1%86%D0%B8%D0%B9.pdf,{'обычные': 3},УЗ-4,3,.pdf,
Прочее\%D0%A0764.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A0953.pdf,{'обычные': 1},УЗ-4,1,.pdf,
Прочее\%D0%A1%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BE%20%D1%81%D0%BE%D1%82%D1%80%D1%83%D0%B4%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%20%D0%9D%D0%A2%D0%98.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D1%81%D1%84%D0%B5%D1%80%D0%BD%D0%B0%D1%8F-%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD-%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F-%D0%BD%D0%B0-%D0%B2%D1%8B%D0%BF%D1%83%D1%81%D0%BA-%D0%BA%D0%B0%D1%80%D1%82%D1%8B.docx,{},NO_PDN,0,.docx,
Прочее\%D0%AE%D0%A4%D0%A3+%20%D0%A0%D0%A1%D0%92%20%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5%20%20N01-19-49%20%D0%BE%D1%82%2009.04.2021.pdf,{},NO_PDN,0,.pdf,
Прочее\%D0%B0%D0%BD%D0%BA%D0%B5%D1%82%D0%B0.docx,{},NO_PDN,0,.docx,
Прочее\%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D0%B8%D1%8E%D0%BB%D1%8C.docx,{'обычные': 11},УЗ-3,11,.docx,
Прочее\%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D1%83.docx,{'обычные': 2},УЗ-4,2,.docx,
Прочее\%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5.docx,{'обычные': 4},УЗ-4,4,.docx,
Прочее\00175-Seguimiento-al-Programa-Anual-de-Disposicion-Final-de-Bienes-Muebles-no-utiles-2024.pdf,{},NO_PDN,0,.pdf,
Прочее\00176-Programa-Anual-de-Disposicion-Final-de-Bienes-Muebles-no-utiles-2025.pdf,{},NO_PDN,0,.pdf,
Прочее\00860-PRONTUARIO_Difusion_Digital.pdf,{},NO_PDN,0,.pdf,
Прочее\01.04.00.pdf,"{'обычные': 8, 'специальные': 1}",УЗ-1,9,.pdf,
Прочее\01.04.02 Прикладная математика и информатика.pdf,{},NO_PDN,0,.pdf,
Прочее\01.04.02.pdf,{'обычные': 7},УЗ-3,7,.pdf,
Прочее\010301_B_3_16022018.pdf,{},NO_PDN,0,.pdf,
Прочее\010302_B_3_08022018.pdf,{},NO_PDN,0,.pdf,
Прочее\010303_B_3_08022018.pdf,{},NO_PDN,0,.pdf,
Прочее\010401_M_3_13022018.pdf,{},NO_PDN,0,.pdf,
